"N_Protocol" "Status" "Species" "Branch_N" "Length" "N_Thorns" "N_Twigs" "Longest_thorn" "N_browsed_Twigs" "Branch_esc" "BDI" "Thorn_density"
1 "Escaped" "Malus" 1 10 0 2 NA 0 "no" 0.2 0
1 "Escaped" "Malus" 2 10 0 7 NA 3 "no" 0.7 0
1 "Escaped" "Malus" 3 9 0 6 NA 4 "no" 0.666666666666667 0
1 "Escaped" "Malus" 4 10 0 5 NA 1 "no" 0.5 0
1 "Escaped" "Malus" 5 10 0 1 NA 0 "no" 0.1 0
1 "Escaped" "Malus" 6 10 0 9 NA 4 "no" 0.9 0
1 "Escaped" "Malus" 7 10 0 12 NA 7 "no" 1.2 0
1 "Escaped" "Malus" 8 10 0 4 NA 3 "no" 0.4 0
1 "Escaped" "Malus" 9 10 3 26 2.6 6 "no" 2.6 0.3
1 "Escaped" "Malus" 10 10 0 7 NA 5 "no" 0.7 0
1 "Escaped" "Malus" 11 10 1 26 0.5 6 "no" 2.6 0.1
1 "Escaped" "Malus" 12 10 2 9 2 2 "no" 0.9 0.2
1 "Escaped" "Malus" 1 10 0 1 NA 0 "yes" 0.1 0
1 "Escaped" "Malus" 2 10 0 1 NA 0 "yes" 0.1 0
1 "Escaped" "Malus" 3 10 0 1 NA 0 "yes" 0.1 0
1 "Escaped" "Malus" 4 10 0 1 NA 0 "yes" 0.1 0
1 "Escaped" "Malus" 5 10 0 1 NA 0 "yes" 0.1 0
1 "Escaped" "Malus" 6 10 0 1 NA 0 "yes" 0.1 0
1 "Escaped" "Malus" 7 10 0 1 NA 1 "yes" 0.1 0
1 "Escaped" "Malus" 8 10 0 1 NA 0 "yes" 0.1 0
1 "Escaped" "Malus" 9 10 0 1 NA 0 "yes" 0.1 0
1 "Escaped" "Malus" 10 10 0 1 NA 0 "yes" 0.1 0
1 "Escaped" "Malus" 11 10 0 1 NA 0 "yes" 0.1 0
1 "Escaped" "Malus" 12 10 0 1 NA 0 "yes" 0.1 0
2 "Not escaped" "Malus" 1 10 1 16 0.7 6 "no" 1.6 0.1
2 "Not escaped" "Malus" 2 8 0 6 NA 1 "no" 0.75 0
2 "Not escaped" "Malus" 3 10 1 12 1.5 4 "no" 1.2 0.1
2 "Not escaped" "Malus" 4 10 1 16 0.9 6 "no" 1.6 0.1
2 "Not escaped" "Malus" 5 10 1 12 1 4 "no" 1.2 0.1
2 "Not escaped" "Malus" 6 10 0 6 NA 0 "no" 0.6 0
2 "Not escaped" "Malus" 7 10 0 21 NA 10 "no" 2.1 0
2 "Not escaped" "Malus" 8 10 0 36 NA 21 "no" 3.6 0
2 "Not escaped" "Malus" 9 9 1 9 2.2 4 "no" 1 0.111111111111111
2 "Not escaped" "Malus" 10 10 1 10 1.9 4 "no" 1 0.1
2 "Not escaped" "Malus" 11 10 0 19 NA 8 "no" 1.9 0
2 "Not escaped" "Malus" 12 10 0 22 NA 5 "no" 2.2 0
3 "Escaped" "Malus" 1 10 1 10 2 4 "no" 1 0.1
3 "Escaped" "Malus" 2 10 0 3 NA 2 "no" 0.3 0
3 "Escaped" "Malus" 3 10 5 12 1.4 3 "no" 1.2 0.5
3 "Escaped" "Malus" 4 10 0 9 NA 4 "no" 0.9 0
3 "Escaped" "Malus" 5 10 0 1 NA 1 "no" 0.1 0
3 "Escaped" "Malus" 6 10 1 11 0.8 2 "no" 1.1 0.1
3 "Escaped" "Malus" 7 8 0 7 NA 2 "no" 0.875 0
3 "Escaped" "Malus" 8 8 1 6 0.6 2 "no" 0.75 0.125
3 "Escaped" "Malus" 9 10 0 6 NA 2 "no" 0.6 0
3 "Escaped" "Malus" 10 10 0 1 NA 0 "no" 0.1 0
3 "Escaped" "Malus" 11 8 0 4 NA 0 "no" 0.5 0
3 "Escaped" "Malus" 12 10 0 9 NA 2 "no" 0.9 0
3 "Escaped" "Malus" 1 10 0 8 NA 2 "yes" 0.8 0
3 "Escaped" "Malus" 2 10 4 5 2.5 2 "yes" 0.5 0.4
3 "Escaped" "Malus" 3 10 0 1 NA 0 "yes" 0.1 0
3 "Escaped" "Malus" 4 10 0 1 NA 0 "yes" 0.1 0
3 "Escaped" "Malus" 5 10 0 1 NA 0 "yes" 0.1 0
3 "Escaped" "Malus" 6 10 0 1 NA 0 "yes" 0.1 0
3 "Escaped" "Malus" 7 10 0 1 NA 0 "yes" 0.1 0
3 "Escaped" "Malus" 8 10 0 4 NA 1 "yes" 0.4 0
3 "Escaped" "Malus" 9 10 0 5 NA 0 "yes" 0.5 0
3 "Escaped" "Malus" 10 10 1 8 1.5 1 "yes" 0.8 0.1
3 "Escaped" "Malus" 11 10 0 2 NA 0 "yes" 0.2 0
3 "Escaped" "Malus" 12 10 0 3 NA 0 "yes" 0.3 0
4 "Not escaped" "Malus" 1 10 0 9 NA 4 "no" 0.9 0
4 "Not escaped" "Malus" 2 10 0 3 NA 3 "no" 0.3 0
4 "Not escaped" "Malus" 3 10 1 4 2 2 "no" 0.4 0.1
4 "Not escaped" "Malus" 4 10 0 1 NA 0 "no" 0.1 0
4 "Not escaped" "Malus" 5 10 0 10 NA 6 "no" 1 0
4 "Not escaped" "Malus" 6 10 0 12 NA 9 "no" 1.2 0
4 "Not escaped" "Malus" 7 10 0 1 NA 0 "no" 0.1 0
4 "Not escaped" "Malus" 8 9 0 1 NA 0 "no" 0.111111111111111 0
4 "Not escaped" "Malus" 9 8 0 9 NA 6 "no" 1.125 0
4 "Not escaped" "Malus" 10 10 0 6 NA 3 "no" 0.6 0
4 "Not escaped" "Malus" 11 10 1 14 0.5 9 "no" 1.4 0.1
4 "Not escaped" "Malus" 12 10 0 8 NA 4 "no" 0.8 0
5 "Escaped" "Malus" 1 10 0 12 NA 1 "no" 1.2 0
5 "Escaped" "Malus" 2 10 0 26 NA 10 "no" 2.6 0
5 "Escaped" "Malus" 3 10 1 9 1.1 2 "no" 0.9 0.1
5 "Escaped" "Malus" 4 10 1 9 1 2 "no" 0.9 0.1
5 "Escaped" "Malus" 5 10 2 18 1.1 8 "no" 1.8 0.2
5 "Escaped" "Malus" 6 9 3 16 1.1 8 "no" 1.77777777777778 0.333333333333333
5 "Escaped" "Malus" 7 9 3 25 2 17 "no" 2.77777777777778 0.333333333333333
5 "Escaped" "Malus" 8 10 1 27 1 13 "no" 2.7 0.1
5 "Escaped" "Malus" 9 10 0 7 NA 4 "no" 0.7 0
5 "Escaped" "Malus" 10 9 0 12 NA 8 "no" 1.33333333333333 0
5 "Escaped" "Malus" 11 10 0 13 NA 7 "no" 1.3 0
5 "Escaped" "Malus" 12 9 1 17 2.9 7 "no" 1.88888888888889 0.111111111111111
5 "Escaped" "Malus" 1 10 0 1 NA 0 "yes" 0.1 0
5 "Escaped" "Malus" 2 10 0 1 NA 0 "yes" 0.1 0
5 "Escaped" "Malus" 3 10 0 1 NA 0 "yes" 0.1 0
5 "Escaped" "Malus" 4 10 0 7 NA 1 "yes" 0.7 0
5 "Escaped" "Malus" 5 10 0 1 NA 0 "yes" 0.1 0
5 "Escaped" "Malus" 6 10 0 1 NA 0 "yes" 0.1 0
5 "Escaped" "Malus" 7 10 0 7 NA 2 "yes" 0.7 0
5 "Escaped" "Malus" 8 10 0 1 NA 0 "yes" 0.1 0
5 "Escaped" "Malus" 9 10 0 10 NA 2 "yes" 1 0
5 "Escaped" "Malus" 10 10 0 10 NA 6 "yes" 1 0
5 "Escaped" "Malus" 11 10 0 1 NA 0 "yes" 0.1 0
5 "Escaped" "Malus" 12 10 0 1 NA 0 "yes" 0.1 0
6 "Not escaped" "Malus" 1 10 3 8 0.9 2 "no" 0.8 0.3
6 "Not escaped" "Malus" 2 10 0 1 NA 0 "no" 0.1 0
6 "Not escaped" "Malus" 3 10 0 10 NA 5 "no" 1 0
6 "Not escaped" "Malus" 4 10 0 1 NA 0 "no" 0.1 0
6 "Not escaped" "Malus" 5 10 0 2 NA 1 "no" 0.2 0
6 "Not escaped" "Malus" 6 10 2 9 1.3 6 "no" 0.9 0.2
6 "Not escaped" "Malus" 7 10 4 14 3.2 4 "no" 1.4 0.4
6 "Not escaped" "Malus" 8 10 0 1 NA 0 "no" 0.1 0
6 "Not escaped" "Malus" 9 10 6 10 3 6 "no" 1 0.6
6 "Not escaped" "Malus" 10 10 1 6 2.2 2 "no" 0.6 0.1
6 "Not escaped" "Malus" 11 9 0 3 NA 0 "no" 0.333333333333333 0
6 "Not escaped" "Malus" 12 10 1 7 6 1 "no" 0.7 0.1
7 "Escaped" "Malus" 1 10 0 1 NA 0 "no" 0.1 0
7 "Escaped" "Malus" 2 10 0 4 NA 1 "no" 0.4 0
