"N_Protocol" "Status" "Species" "Height"
1 "Escaped" "Pyrus" 305
10 "Escaped" "Pyrus" 430
6 "Escaped" "Pyrus" 92
8 "Escaped" "Pyrus" 480
9 "Escaped" "Pyrus" 400
1 "Escaped" "Malus" 360
1 "Escaped" "Malus" 267
2 "Escaped" "Malus" 93
3 "Escaped" "Malus" 115
4 "Escaped" "Malus" 164
5 "Escaped" "Malus" 191
1 "Escaped" "Malus" 192
2 "Escaped" "Malus" 350
3 "Escaped" "Malus" 185
4 "Escaped" "Malus" 250
7 "Escaped" "Prunus" 230
5 "Escaped" "Prunus" 101
4 "Escaped" "Prunus" 166
3 "Escaped" "Prunus" 175
2 "Escaped" "Prunus" 202
1 "Escaped" "Prunus" 300
2 "Escaped" "Prunus" 320
5 "Escaped" "Prunus" 230
6 "Escaped" "Prunus" 105
7 "Escaped" "Prunus" 102
8 "Escaped" "Prunus" 180
3 "Escaped" "Prunus" 250
4 "Escaped" "Prunus" 410
1 "Escaped" "Prunus" 250
2 "Escaped" "Prunus" 120
1 "Escaped" "Prunus" 173
2 "Escaped" "Prunus" 162
5 "Escaped" "Prunus" 116
6 "Escaped" "Prunus" 181
