"N_Protocol" "Total_foraging_time" "Total_bite_rate" "Bite_rate" "BDI" "Foraging_time_av" "Surface"
115 167 0.305389222 0.05 0.99375 0.000340219 10.9328907
115 167 0.305389222 0.5 0.99375 0.000340219 10.9328907
115 167 0.305389222 0.245614035 0.99375 0.000340219 10.9328907
115 167 0.305389222 0.428571429 0.99375 0.000340219 10.9328907
115 167 0.305389222 NA 0.99375 0.000340219 10.9328907
115 167 0.305389222 0.387096774 0.99375 0.000340219 10.9328907
115 167 0.305389222 0.2 0.99375 0.000340219 10.9328907
115 167 0.305389222 NA 0.99375 0.000340219 10.9328907
115 167 0.305389222 NA 0.99375 0.000340219 10.9328907
115 167 0.305389222 0.4 0.99375 0.000340219 10.9328907
234 135 0.177777778 0.183333333 0.70625 0.000224573 13.52712962
234 135 0.177777778 0.170212766 0.70625 0.000224573 13.52712962
234 135 0.177777778 0.142857143 0.70625 0.000224573 13.52712962
234 135 0.177777778 0.285714286 0.70625 0.000224573 13.52712962
234 135 0.177777778 NA 0.70625 0.000224573 13.52712962
234 135 0.177777778 NA 0.70625 0.000224573 13.52712962
234 135 0.177777778 NA 0.70625 0.000224573 13.52712962
1 0 NA NA 0.527777778 0 12.73075808
2 57 0.350877193 0.333333333 1.5625 9.51e-05 5.719256455
2 57 0.350877193 0.428571429 1.5625 9.51e-05 5.719256455
2 57 0.350877193 NA 1.5625 9.51e-05 5.719256455
2 57 0.350877193 0.4 1.5625 9.51e-05 5.719256455
2 57 0.350877193 NA 1.5625 9.51e-05 5.719256455
11 19 0.052631579 NA 0.55625 4.27e-05 4.357523983
11 19 0.052631579 0.052631579 0.55625 4.27e-05 4.357523983
52 0 NA NA 0.8375 0 3.641712297
137 48 0.25 0.25 1.3125 0.00012171 13.34136503
137 48 0.25 NA 1.3125 0.00012171 13.34136503
147 12 0.25 0.25 0.7375 6.04e-05 7.174215364
147 12 0.25 NA 0.7375 6.04e-05 7.174215364
147 12 0.25 NA 0.7375 6.04e-05 7.174215364
