"N_Protocol" "animal_species" "Species" "Foraging_time"
115 "Red Deer" "Malus" 20
115 "Red Deer" "Malus" 6
115 "Red Deer" "Malus" 57
115 "Red Deer" "Malus" 28
115 "Red Deer" "Malus" NA
115 "Red Deer" "Malus" 31
115 "Red Deer" "Malus" 5
115 "Red Deer" "Malus" NA
115 "Red Deer" "Malus" NA
115 "Red Deer" "Malus" 20
224 "Red Deer" "Quercus" 8
224 "Red Deer" "Quercus" 3
224 "Red Deer" "Quercus" NA
224 "Red Deer" "Quercus" NA
224 "Red Deer" "Quercus" NA
234 "Red Deer" "Pyrus" 60
234 "Red Deer" "Pyrus" 47
234 "Red Deer" "Pyrus" 21
234 "Red Deer" "Pyrus" 7
234 "Red Deer" "Pyrus" NA
234 "Red Deer" "Pyrus" NA
234 "Red Deer" "Pyrus" NA
1 "Red Deer" "Malus" NA
2 "Red Deer" "Malus" 45
2 "Red Deer" "Malus" 7
2 "Red Deer" "Malus" NA
2 "Red Deer" "Malus" 5
2 "Red Deer" "Malus" NA
11 "Red Deer" "Prunus" NA
11 "Red Deer" "Prunus" 19
42 "Red Deer" "Carpinus" NA
42 "Red Deer" "Carpinus" NA
42 "Red Deer" "Carpinus" 6
42 "Red Deer" "Carpinus" NA
42 "Red Deer" "Carpinus" NA
48 "Red Deer" "Tilia" NA
52 "Red Deer" "Prunus" NA
80 "European Bison" "Quercus" NA
116 "Red Deer" "Carpinus" NA
116 "Red Deer" "Carpinus" NA
116 "Red Deer" "Carpinus" NA
116 "Red Deer" "Carpinus" NA
116 "Red Deer" "Carpinus" NA
117 "Red Deer" "Carpinus" NA
137 "Red Deer" "Malus" 48
137 "Red Deer" "Malus" NA
139 "Red Deer" "Quercus" NA
139 "Red Deer" "Quercus" NA
147 "Red Deer" "Prunus" 12
147 "Red Deer" "Prunus" NA
147 "Red Deer" "Prunus" NA
147 "Red Deer" "Prunus" NA
149 "Red Deer" "Prunus" NA
149 "Red Deer" "Prunus" NA
149 "Red Deer" "Prunus" NA
152 "Red Deer" "Pyrus" NA
152 "Red Deer" "Pyrus" NA
152 "Red Deer" "Pyrus" 33
152 "Red Deer" "Pyrus" NA
152 "Red Deer" "Pyrus" NA
152 "Red Deer" "Pyrus" NA
152 "Red Deer" "Pyrus" 29
152 "Red Deer" "Pyrus" NA
152 "Red Deer" "Pyrus" NA
152 "Red Deer" "Pyrus" NA
152 "Red Deer" "Pyrus" NA
153 "Red Deer" "Pyrus" NA
153 "Red Deer" "Pyrus" 9
153 "Red Deer" "Pyrus" NA
153 "Roe Deer" "Pyrus" NA
157 "Red Deer" "Pyrus" NA
157 "Red Deer" "Pyrus" 26
157 "Red Deer" "Pyrus" NA
157 "Red Deer" "Pyrus" NA
157 "Red Deer" "Pyrus" NA
165 "Red Deer" "Prunus" NA
183 "Red Deer" "Tilia" NA
183 "Roe Deer" "Tilia" NA
184 "Red Deer" "Carpinus" NA
184 "Red Deer" "Carpinus" NA
184 "Red Deer" "Carpinus" NA
184 "Red Deer" "Carpinus" NA
184 "Red Deer" "Carpinus" NA
186 "Roe Deer" "Carpinus" NA
186 "Red Deer" "Carpinus" NA
186 "European Bison" "Carpinus" 13
187 "European Bison" "Tilia" 12
187 "Red Deer" "Tilia" NA
187 "Roe Deer" "Tilia" NA
190 "Roe Deer" "Pyrus" 2
190 "Red Deer" "Pyrus" NA
190 "Red Deer" "Pyrus" NA
190 "Red Deer" "Pyrus" NA
190 "Red Deer" "Pyrus" NA
192 "Red Deer" "Prunus" NA
197 "Red Deer" "Tilia" NA
197 "Red Deer" "Tilia" NA
197 "Red Deer" "Tilia" NA
197 "Red Deer" "Tilia" NA
197 "Red Deer" "Tilia" NA
197 "Red Deer" "Tilia" NA
197 "Red Deer" "Tilia" NA
197 "Red Deer" "Tilia" NA
197 "Red Deer" "Tilia" NA
197 "Red Deer" "Tilia" NA
197 "Roe Deer" "Tilia" NA
197 "Roe Deer" "Tilia" NA
202 "Red Deer" "Tilia" NA
208 "Red Deer" "Pyrus" NA
209 "Red Deer" "Tilia" NA
209 "Red Deer" "Tilia" NA
209 "Red Deer" "Tilia" NA
209 "Red Deer" "Tilia" NA
209 "Red Deer" "Tilia" NA
209 "Red Deer" "Tilia" NA
209 "Red Deer" "Tilia" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "Red Deer" "Pyrus" NA
211 "European Bison" "Pyrus" NA
211 "European Bison" "Pyrus" NA
211 "European Bison" "Pyrus" NA
211 "European Bison" "Pyrus" NA
211 "European Bison" "Pyrus" NA
211 "European Bison" "Pyrus" NA
211 "European Bison" "Pyrus" NA
211 "European Bison" "Pyrus" NA
211 "European Bison" "Pyrus" NA
211 "European Bison" "Pyrus" NA
211 "European Bison" "Pyrus" NA
212 "Red Deer" "Quercus" NA
212 "Red Deer" "Quercus" NA
212 "Red Deer" "Quercus" 26
212 "Red Deer" "Quercus" NA
212 "Red Deer" "Quercus" NA
212 "Red Deer" "Quercus" NA
212 "Red Deer" "Quercus" NA
212 "Red Deer" "Quercus" NA
212 "European Bison" "Quercus" NA
212 "European Bison" "Quercus" NA
213 "European Bison" "Quercus" NA
213 "European Bison" "Quercus" NA
213 "Red Deer" "Quercus" NA
213 "Red Deer" "Quercus" NA
213 "Red Deer" "Quercus" NA
213 "Red Deer" "Quercus" NA
213 "Red Deer" "Quercus" NA
213 "Red Deer" "Quercus" NA
215 "Red Deer" "Quercus" NA
215 "Red Deer" "Quercus" NA
215 "Red Deer" "Quercus" NA
215 "Red Deer" "Quercus" NA
215 "Red Deer" "Quercus" NA
215 "Red Deer" "Quercus" NA
215 "Red Deer" "Quercus" NA
215 "Roe Deer" "Quercus" NA
215 "European Bison" "Quercus" NA
215 "European Bison" "Quercus" NA
215 "European Bison" "Quercus" NA
215 "European Bison" "Quercus" NA
217 "Red Deer" "Carpinus" NA
217 "Red Deer" "Carpinus" NA
217 "Red Deer" "Carpinus" NA
217 "Red Deer" "Carpinus" NA
217 "Red Deer" "Carpinus" NA
221 "Red Deer" "Quercus" NA
221 "Red Deer" "Quercus" NA
221 "Red Deer" "Quercus" NA
221 "Red Deer" "Quercus" NA
221 "Red Deer" "Quercus" NA
221 "Red Deer" "Quercus" NA
221 "European Bison" "Quercus" 13
222 "Roe Deer" "Quercus" NA
222 "European Bison" "Quercus" NA
222 "Red Deer" "Quercus" NA
224 "European Bison" "Quercus" NA
224 "European Bison" "Quercus" NA
224 "European Bison" "Quercus" NA
229 "Roe Deer" "Quercus" 8
233 "Red Deer" "Prunus" NA
233 "Red Deer" "Prunus" NA
233 "Red Deer" "Prunus" NA
233 "Red Deer" "Prunus" 2
233 "Red Deer" "Prunus" NA
235 "Red Deer" "Pyrus" NA
235 "Red Deer" "Pyrus" NA
235 "Red Deer" "Pyrus" NA
235 "Red Deer" "Pyrus" NA
235 "Red Deer" "Pyrus" NA
235 "Red Deer" "Pyrus" NA
